identity,expression,filename,dist_enL_seL,dist_enL_prn,dist_seL_prn,dist_seL_ls,dist_prn_ls,dist_alL_alR,dist_chL_chR,dist_enL_exL,dist_enR_exR,dist_exL_exR,dist_enL_enR,dist_gn_prn,dist_gn_sto,dist_seL_seR,dist_ls_sto,area_enL_exL_exR,area_prn_alL_alR,area_chL_chR_ls,area_enL_enR_prn,area_ls_sto_sl,area_seL_prn_alL,area_seR_prn_alR,volume_enL_prn_alL_alR,volume_enL_exL_exR_prn,volume_chL_chR_ls_sto,volume_enL_enR_seL_prn,volume_exL_exR_alL_alR,facial_area
bs000,N,bs000_N_N_0.lm3,0.7055,1.5689,0.9211,1.6894,1.1097,1.1636,1.6939,1.0948,1.0880,3.1083,1.0000,2.5274,1.2077,0.4175,0.2518,0.4451,0.4206,0.5572,0.7439,0.0218,0.3470,0.4261,0.1709,0.0864,0.0225,0.0449,0.1617,8.3505
bs000,N,bs000_N_N_1.lm3,0.6468,1.5936,0.9954,1.7323,1.0955,1.1625,1.6958,1.0592,0.9956,3.0176,1.0000,2.4679,1.0903,0.4246,0.3027,0.2958,0.4600,0.5205,0.7433,0.0148,0.4090,0.4399,0.1954,0.0603,0.0305,0.0395,0.1680,8.1204
bs001,N,bs001_N_N_0.lm3,0.8088,1.6022,0.8785,1.5429,0.9336,1.0395,1.5364,0.8888,0.9790,2.8405,1.0000,2.3184,1.1677,0.3019,0.2700,0.0593,0.3410,0.4025,0.7533,0.0218,0.3335,0.3627,0.1368,0.0144,0.0216,0.0507,0.0852,6.6456
bs002,N,bs002_N_N_0.lm3,0.9383,1.8816,0.9940,1.8437,1.2873,1.0953,1.5763,1.0503,1.0853,3.0587,1.0000,2.6945,1.2749,0.4344,0.1867,0.4069,0.5760,0.4606,0.9294,0.0064,0.4472,0.4756,0.2320,0.1709,0.0208,0.0671,0.0141,8.2609
bs003,N,bs003_N_N_0.lm3,0.6964,1.4654,0.8359,1.5300,0.9978,1.1181,1.5641,0.9943,1.0266,2.9678,1.0000,2.2941,1.0513,0.3441,0.3324,0.3714,0.4064,0.5390,0.7082,0.0190,0.3127,0.3671,0.1513,0.0506,0.0280,0.0476,0.1169,7.4004
bs004,N,bs004_N_N_0.lm3,0.8785,1.7586,0.9273,1.5903,1.0180,1.0233,1.4870,1.0510,1.0023,2.9291,1.0000,2.4598,1.2807,0.3453,0.2742,0.5126,0.3585,0.4364,0.8407,0.0309,0.3720,0.3289,0.1605,0.2226,0.0134,0.0511,0.1047,7.2176
bs005,N,bs005_N_N_0.lm3,0.5674,1.4900,1.0705,1.7548,1.0700,1.0446,1.4016,0.8039,0.7870,2.5168,1.0000,2.4968,1.2781,0.3442,0.2148,0.2956,0.3421,0.3624,0.6878,0.0229,0.4426,0.3591,0.1263,0.0769,0.0053,0.0530,0.0787,5.7956
bs005,N,bs005_N_N_1.lm3,0.5960,1.4302,0.8948,1.7334,1.2315,1.1122,1.3948,0.8265,0.7582,2.5656,1.0000,2.4710,1.0477,0.3764,0.2084,0.1676,0.4240,0.3934,0.6753,0.0084,0.4077,0.3149,0.1462,0.0421,0.0174,0.0341,0.1272,5.9456
bs006,N,bs006_N_N_0.lm3,0.7498,1.6098,0.9682,1.7511,1.0626,1.1667,1.7107,0.9826,1.0096,2.9389,1.0000,2.4495,1.2206,0.3924,0.2413,0.3601,0.3146,0.4559,0.7679,0.0289,0.3563,0.3674,0.1293,0.0957,0.0161,0.0706,0.0073,7.7728
bs007,N,bs007_N_N_0.lm3,0.6478,1.6136,1.0903,1.8620,1.0460,1.1678,1.5380,0.9833,0.9501,2.8583,1.0000,2.2668,1.0600,0.4057,0.1869,0.3507,0.3410,0.4509,0.7662,0.0120,0.4071,0.3907,0.1262,0.1032,0.0197,0.0722,0.0508,7.1037
bs008,N,bs008_N_N_0.lm3,0.5792,1.6741,1.1267,1.7891,1.1128,1.1339,1.5734,1.0124,0.9114,2.8692,1.0000,2.6382,1.2293,0.4683,0.3192,0.3358,0.5401,0.4641,0.8041,0.0132,0.5024,0.5151,0.2285,0.0885,0.0328,0.0347,0.1156,7.5275
bs009,N,bs009_N_N_0.lm3,0.8417,1.6987,0.9974,1.7838,1.1438,1.1388,1.6771,1.0386,1.0288,3.0095,1.0000,2.6662,1.3436,0.3542,0.2458,0.3623,0.3698,0.4699,0.7909,0.0280,0.3929,0.3782,0.1368,0.1032,0.0213,0.0868,0.0413,7.4097
bs010,N,bs010_N_N_0.lm3,1.0040,1.8627,0.9608,2.0122,1.3662,1.1185,1.8403,1.1585,1.1686,3.2654,1.0000,3.1530,1.4807,0.4812,0.3580,0.4790,0.4316,0.6397,0.9193,0.0442,0.4192,0.4466,0.2284,0.0454,0.0317,0.0955,0.0166,10.2525
bs010,N,bs010_N_N_1.lm3,0.9338,1.9665,1.1277,2.0364,1.3176,1.2797,1.7751,1.1071,1.1409,3.2047,1.0000,3.1685,1.5475,0.4927,0.3540,0.2603,0.6034,0.5953,0.9235,0.0296,0.5301,0.5841,0.2807,0.0070,0.0368,0.0933,0.0863,9.4664
bs011,N,bs011_N_N_0.lm3,0.6596,1.5631,0.9734,1.7792,1.1160,1.0703,1.5867,1.0618,1.0198,3.0331,1.0000,2.5691,1.1232,0.4309,0.3625,0.3207,0.3435,0.4312,0.7370,0.0389,0.3805,0.4157,0.1536,0.0050,0.0217,0.0457,0.0472,7.9487
bs012,N,bs012_N_N_0.lm3,0.6060,1.5143,0.9478,1.6618,0.9713,1.1432,1.6842,0.9549,1.0116,2.8825,1.0000,2.7681,1.3935,0.4440,0.4104,0.3753,0.4133,0.5362,0.7168,0.0439,0.3599,0.5074,0.1823,0.1123,0.0410,0.0271,0.1213,7.9699
bs012,N,bs012_N_N_1.lm3,0.5641,1.4697,0.9485,1.5407,0.8806,1.0663,1.6947,0.8975,0.8477,2.7201,1.0000,2.4581,1.2758,0.3298,0.3067,0.2344,0.3545,0.5288,0.7011,0.0107,0.4061,0.3136,0.1387,0.0652,0.0421,0.0229,0.1419,7.1868
bs012,N,bs012_N_N_2.lm3,0.5902,1.4568,0.8940,1.5514,0.9365,1.0258,1.6430,0.8983,0.9740,2.7723,1.0000,2.5626,1.3173,0.3827,0.3161,0.3285,0.3458,0.5965,0.6750,0.0307,0.3549,0.3297,0.1305,0.0888,0.0398,0.0166,0.1214,7.3380
bs013,N,bs013_N_N_0.lm3,0.7503,1.4472,0.7138,1.4612,1.0430,1.0516,1.6181,1.2074,1.1635,3.2537,1.0000,2.5601,1.2428,0.4325,0.2889,0.6515,0.3152,0.4979,0.6951,0.0191,0.2473,0.2722,0.1205,0.1094,0.0270,0.0245,0.0286,8.4755
bs014,N,bs014_N_N_0.lm3,0.6959,1.8076,1.3253,2.0034,1.1181,1.1644,1.6196,1.2033,1.2265,3.3919,1.0000,2.9493,1.5804,0.4372,0.2750,0.2338,0.4749,0.4687,0.8366,0.0166,0.5563,0.6791,0.2147,0.0940,0.0282,0.1094,0.2138,9.9204
bs015,N,bs015_N_N_0.lm3,0.7974,1.6048,0.8722,1.6640,1.1091,1.0150,1.3584,1.0100,1.0635,2.9744,1.0000,2.7798,1.3364,0.3771,0.3692,0.3668,0.3893,0.3808,0.7224,0.0350,0.3543,0.4159,0.1840,0.0915,0.0193,0.0519,0.1167,7.6320
bs016,N,bs016_N_N_0.lm3,0.6374,1.5531,1.0326,1.6171,0.9175,1.3112,1.6632,0.8459,0.8727,2.6756,1.0000,2.4932,1.3782,0.3637,0.2308,0.2901,0.4830,0.4665,0.7621,0.0152,0.4173,0.5106,0.1760,0.0714,0.0233,0.0729,0.1436,6.1374
bs017,N,bs017_N_N_0.lm3,0.6611,1.8315,1.4373,2.1334,1.0429,0.9928,1.5071,0.9193,0.9570,2.8501,1.0000,2.7212,1.3895,0.3398,0.3188,0.1995,0.2597,0.4436,0.8523,0.0293,0.4599,0.4569,0.0985,0.0047,0.0205,0.1163,0.0288,7.9717
bs018,N,bs018_N_N_0.lm3,0.6750,1.5191,0.9353,1.6278,0.9234,0.9554,1.4796,0.9644,1.0224,2.9247,1.0000,2.7900,1.6208,0.3005,0.2533,0.3280,0.2711,0.3896,0.7311,0.0215,0.3603,0.3014,0.1134,0.0608,0.0141,0.0526,0.1183,7.2331
bs019,N,bs019_N_N_0 (1).lm3,0.4280,1.6420,1.3941,1.8177,0.8179,1.0962,1.4950,0.8278,0.7841,2.5964,1.0000,2.2453,1.2377,0.4382,0.2725,0.1582,0.3047,0.4147,0.7625,0.0344,0.4277,0.4454,0.0985,0.0549,0.0166,0.0553,0.0594,6.2904
bs019,N,bs019_N_N_0.lm3,0.4280,1.6420,1.3941,1.8177,0.8179,1.0962,1.4950,0.8278,0.7841,2.5964,1.0000,2.2453,1.2377,0.4382,0.2725,0.1582,0.3047,0.4147,0.7625,0.0344,0.4277,0.4454,0.0985,0.0549,0.0166,0.0553,0.0594,6.2904
bs020,N,bs020_N_N_0.lm3,0.2940,1.2958,1.0475,1.6560,0.9541,1.1279,1.5038,1.0319,0.9343,2.8922,1.0000,2.3900,1.1197,0.4710,0.3351,0.4052,0.3945,0.4025,0.5904,0.0287,0.3811,0.4329,0.1431,0.0843,0.0210,0.0105,0.1524,6.9821
bs021,N,bs021_N_N_0.lm3,0.5514,1.7916,1.2805,1.9445,0.9213,1.0530,1.5588,0.9647,1.0026,2.9341,1.0000,2.7902,1.6184,0.5698,0.2671,0.1858,0.2587,0.5393,0.8472,0.0294,0.3498,0.3496,0.0851,0.0904,0.0236,0.0405,0.0238,7.8672
bs022,N,bs022_N_N_0.lm3,0.4490,1.5776,1.2725,1.8240,0.9128,0.9864,1.5882,1.0517,1.0164,3.0145,1.0000,2.8918,1.6893,0.4058,0.3067,0.3571,0.2814,0.4908,0.7458,0.0304,0.4684,0.4284,0.1180,0.0795,0.0383,0.0531,0.0356,7.7622
bs023,N,bs023_N_N_0.lm3,0.7521,1.6248,0.9640,1.7687,1.0317,1.0945,1.4683,1.0068,1.0460,2.9960,1.0000,2.3364,1.1543,0.4131,0.2606,0.3480,0.4041,0.4011,0.7623,0.0216,0.3630,0.3932,0.1363,0.1313,0.0083,0.0638,0.0520,7.4929
bs024,N,bs024_N_N_0.lm3,0.5923,1.6051,1.2522,1.9998,1.0369,1.0016,1.5822,0.9801,1.0210,2.9672,1.0000,2.7909,1.4239,0.5286,0.3447,0.2853,0.3664,0.5322,0.7644,0.0283,0.5492,0.5955,0.1642,0.0513,0.0266,0.0932,0.0635,7.9878
bs025,N,bs025_N_N_0.lm3,0.8907,1.9522,1.1737,2.0369,1.1930,1.3342,1.6527,1.2006,1.3807,3.4507,1.0000,3.4125,1.8658,0.4867,0.3551,0.4671,0.6744,0.5075,0.8990,0.0293,0.6356,0.7538,0.3444,0.2017,0.0329,0.0896,0.0513,10.7021
bs025,N,bs025_N_N_1.lm3,0.6953,1.7693,1.1414,1.9178,1.1469,1.1293,1.6228,1.1161,0.9646,3.0575,1.0000,2.8459,1.3765,0.3717,0.3422,0.2726,0.4319,0.5009,0.8668,0.0341,0.5145,0.4848,0.2153,0.0941,0.0284,0.0632,0.0113,8.8866
bs026,N,bs026_N_N_0.lm3,0.4461,1.5725,1.1903,1.8240,1.0126,1.1227,1.6500,1.1074,1.0574,3.1022,1.0000,3.0939,1.7655,0.4828,0.3212,0.3507,0.3390,0.5370,0.7171,0.0263,0.4678,0.4763,0.1497,0.0858,0.0224,0.0282,0.0074,9.1003
bs027,N,bs027_N_N_0.lm3,0.7184,1.6727,1.0529,1.8524,1.1641,1.2043,1.8852,1.0000,1.0125,2.9985,1.0000,3.2569,1.7041,0.3986,0.4249,0.1969,0.5856,0.6341,0.8140,0.0143,0.5517,0.5703,0.2586,0.0633,0.0654,0.0679,0.0205,9.6806
bs028,N,bs028_N_N_0.lm3,0.4668,1.7098,1.3294,1.8975,0.8980,1.0530,1.3500,1.0697,1.2288,3.2085,1.0000,2.6430,1.4231,0.4875,0.3487,0.4146,0.4184,0.3249,0.7940,0.0299,0.5797,0.5535,0.1956,0.1388,0.0133,0.0448,0.0372,8.2645
bs029,N,bs029_N_N_0.lm3,0.5117,1.7974,1.4333,2.2755,1.2145,1.3355,1.9137,1.4270,1.4323,3.6900,1.0000,3.3919,1.7160,0.4933,0.4749,0.8162,0.5388,0.6807,0.8594,0.0498,0.5936,0.8862,0.2694,0.2823,0.0618,0.0707,0.4929,12.5192
bs030,N,bs030_N_N_0.lm3,0.3359,1.5600,1.3616,2.0356,1.0635,1.1570,1.6404,1.0504,1.0647,3.0246,1.0000,2.4986,1.2585,0.5824,0.1923,0.4803,0.3866,0.3934,0.7686,0.0032,0.5694,0.4775,0.1535,0.1258,0.0223,0.0546,0.1694,7.5025
bs031,N,bs031_N_N_0.lm3,0.3655,1.4536,1.1467,1.7278,1.0297,0.9778,1.3330,0.8926,0.9762,2.7876,1.0000,2.5274,1.2483,0.4981,0.2822,0.3163,0.3017,0.2649,0.6728,0.0035,0.4235,0.3760,0.1266,0.0571,0.0210,0.0155,0.1109,7.0341
bs032,N,bs032_N_N_0.lm3,0.4543,1.6374,1.3422,1.8370,1.0308,1.0098,1.1760,0.8315,0.8009,2.5888,1.0000,2.6125,1.3824,0.4263,0.2159,0.2327,0.3846,0.2702,0.7843,0.0114,0.4853,0.5492,0.1429,0.0804,0.0147,0.0618,0.0445,5.8693
bs033,N,bs033_N_N_0.lm3,0.4690,1.5091,1.2700,1.7552,0.8171,0.9489,1.2598,0.6910,0.7540,2.4094,1.0000,2.2444,1.2242,0.3566,0.2252,0.1818,0.3094,0.2855,0.7114,0.0183,0.4445,0.4471,0.1102,0.0382,0.0124,0.0552,0.0095,5.4815
bs033,N,bs033_N_N_1.lm3,0.4141,1.5774,1.3900,1.9373,0.9368,1.0470,1.3674,0.8387,0.8093,2.6065,1.0000,2.3440,1.2338,0.3716,0.2149,0.2554,0.3453,0.3281,0.7542,0.0237,0.4384,0.5827,0.1219,0.0619,0.0121,0.0606,0.1368,6.3264
bs034,N,bs034_N_N_0.lm3,0.3934,1.4306,1.1450,1.5155,0.7907,1.0151,1.3366,0.9517,0.9567,2.7965,1.0000,2.3841,1.2977,0.4678,0.3224,0.4707,0.3194,0.3916,0.6975,0.0127,0.4538,0.3867,0.1115,0.1399,0.0235,0.0383,0.1715,6.0232
bs034,N,bs034_N_N_1.lm3,0.3310,1.4452,1.2349,1.7301,0.9190,0.9868,1.4495,0.9569,0.8754,2.7896,1.0000,2.4289,1.2097,0.5303,0.3515,0.2988,0.3135,0.4202,0.6879,0.0477,0.4433,0.4064,0.1190,0.0946,0.0159,0.0356,0.0224,6.3731
bs035,N,bs035_N_N_0.lm3,0.6200,1.6314,1.2817,1.9857,1.0445,1.1307,1.5902,0.9202,1.0159,2.8814,1.0000,2.8809,1.6016,0.3479,0.2566,0.3344,0.4803,0.4727,0.7804,0.0311,0.6532,0.5623,0.1917,0.0918,0.0176,0.0988,0.0777,8.0019
bs035,N,bs035_N_N_1.lm3,0.6582,1.6260,1.1530,1.9490,1.1463,1.1029,1.7176,0.9844,1.0696,3.0109,1.0000,2.9711,1.5618,0.4188,0.2925,0.3010,0.3780,0.5255,0.7668,0.0377,0.4451,0.5457,0.1680,0.1050,0.0244,0.0802,0.0762,8.1944
bs036,N,bs036_N_N_0.lm3,0.4316,1.3996,1.0170,1.7421,0.9271,1.2868,1.5581,0.9198,0.9592,2.7509,1.0000,2.4510,1.3084,0.5072,0.2345,0.5300,0.3555,0.4417,0.6836,0.0283,0.3072,0.4715,0.1291,0.1508,0.0315,0.0292,0.1800,7.1780
bs036,N,bs036_N_N_1.lm3,0.5227,1.3900,0.9453,1.7563,1.0063,1.3066,1.6505,0.9202,0.9330,2.8000,1.0000,2.5558,1.1881,0.3798,0.3842,0.3302,0.3513,0.5235,0.6680,0.0148,0.3523,0.4190,0.1401,0.0840,0.0534,0.0392,0.0419,7.3337
bs037,N,bs037_N_N_0.lm3,0.7006,1.7272,1.1355,1.6846,1.0091,1.1412,1.5077,1.0651,1.0340,3.0414,1.0000,2.3010,1.1059,0.3659,0.2961,0.3575,0.4018,0.4257,0.8396,0.0284,0.3777,0.5365,0.1571,0.0584,0.0156,0.0719,0.2334,7.3308
bs037,N,bs037_N_N_1.lm3,0.6715,1.7383,1.1445,1.6207,0.9847,1.0567,1.5303,1.1081,1.1722,3.1368,1.0000,2.1722,1.0039,0.4544,0.2908,0.5121,0.3117,0.4474,0.8181,0.0161,0.3720,0.3391,0.1070,0.1121,0.0169,0.0505,0.1037,7.3826
bs037,N,bs037_N_N_2.lm3,0.7287,1.7717,1.1445,1.7411,1.0847,1.2091,1.5983,1.1717,1.1277,3.2043,1.0000,2.4369,1.1937,0.3801,0.2992,0.4946,0.5108,0.5247,0.8579,0.0349,0.4940,0.4982,0.2012,0.0934,0.0200,0.0699,0.0247,8.1180
bs038,N,bs038_N_N_0.lm3,0.9830,1.8635,0.9911,1.8577,1.2488,0.9736,1.4708,1.1171,1.1420,3.2216,1.0000,3.3426,1.6190,0.3645,0.4919,0.2613,0.4130,0.4369,0.9085,0.0825,0.4685,0.4435,0.2012,0.1344,0.0288,0.0976,0.1481,8.7003
bs038,N,bs038_N_N_1.lm3,0.9724,1.9742,1.1127,2.0474,1.3354,1.0388,1.6137,1.2397,1.1895,3.3910,1.0000,3.3607,1.6125,0.3312,0.4220,0.3675,0.4446,0.5153,0.9651,0.0391,0.5528,0.4775,0.2261,0.2061,0.0435,0.1076,0.1893,9.9097
bs039,N,bs039_N_N_0.lm3,0.6110,1.6788,1.1844,1.9109,1.2516,1.1928,1.6297,1.0029,1.0400,3.0033,1.0000,2.5791,1.1564,0.4179,0.2866,0.2644,0.3854,0.4539,0.8220,0.0155,0.4722,0.4867,0.1721,0.0299,0.0157,0.0708,0.0765,7.4240
bs040,N,bs040_N_N_0.lm3,0.6759,1.6625,1.1352,1.7187,0.9305,1.0702,1.3991,0.9056,0.9593,2.8222,1.0000,2.1672,1.1789,0.4187,0.1757,0.2581,0.3477,0.3081,0.8095,0.0105,0.3421,0.4641,0.1126,0.0570,0.0059,0.0835,0.1421,6.3032
bs040,N,bs040_N_N_1.lm3,0.7899,1.6758,1.0026,1.6562,1.0022,1.0163,1.4786,0.9494,1.0659,2.9617,1.0000,2.3306,1.2378,0.4378,0.1873,0.2750,0.2602,0.3342,0.8045,0.0073,0.3078,0.2957,0.0844,0.0501,0.0097,0.0820,0.0640,6.8411
bs041,N,bs041_N_N_0.lm3,0.5671,1.7578,1.3108,2.1401,1.2062,1.0849,1.6761,1.1376,1.1208,3.2110,1.0000,2.6624,1.2996,0.4076,0.2062,0.4000,0.3039,0.5049,0.8507,0.0112,0.4741,0.4821,0.1432,0.1846,0.0142,0.0672,0.0155,9.2734
bs041,N,bs041_N_N_1.lm3,0.7273,1.7600,1.1392,1.8880,1.0583,1.1184,1.6718,1.0074,1.1090,3.0284,1.0000,2.4398,1.2135,0.3425,0.1790,0.3816,0.3926,0.5147,0.8232,0.0038,0.4053,0.5821,0.1860,0.1987,0.0238,0.0656,0.1985,8.1423
bs042,N,bs042_N_N_0.lm3,0.9473,2.1992,1.3975,2.1459,1.1889,1.3765,1.8438,1.0911,1.2783,3.2973,1.0000,3.2379,1.6735,0.4986,0.3974,0.4342,0.6845,0.6126,1.0511,0.0349,0.6171,0.8623,0.3230,0.1922,0.0398,0.1338,0.4011,10.5004
bs042,N,bs042_N_N_1.lm3,0.9428,2.0191,1.1954,1.9065,1.1026,1.2691,1.6043,1.0050,1.0621,3.0155,1.0000,2.7967,1.3590,0.4693,0.3728,0.3430,0.6092,0.5178,0.9717,0.0399,0.5277,0.6769,0.2693,0.1141,0.0264,0.1117,0.2914,8.4516
bs043,N,bs043_N_N_0.lm3,0.7295,1.6179,1.0183,1.8034,1.0880,1.0807,1.5958,1.1500,1.1193,3.1944,1.0000,2.6298,1.2999,0.2895,0.2811,0.4599,0.3985,0.3824,0.7903,0.0093,0.3949,0.4780,0.1636,0.1094,0.0303,0.0671,0.1271,8.8485
bs043,N,bs043_N_N_1.lm3,0.7602,1.5583,0.8624,1.6998,1.1019,1.0186,1.5515,1.0772,0.9847,3.0218,1.0000,2.5845,1.2167,0.4770,0.2950,0.3373,0.2890,0.4293,0.7599,0.0129,0.3220,0.3157,0.1191,0.0559,0.0316,0.0526,0.0689,8.4326
bs044,N,bs044_N_N_0.lm3,0.6586,1.8320,1.2654,2.0873,1.1623,1.3421,1.7753,1.1440,1.2505,3.2896,1.0000,2.5909,1.2609,0.4487,0.1843,0.5200,0.5017,0.5009,0.8844,0.0112,0.5686,0.5493,0.2205,0.1242,0.0215,0.0728,0.0724,9.4484
bs044,N,bs044_N_N_1.lm3,0.7148,1.8593,1.2233,2.0529,1.1333,1.2915,1.8257,1.1846,1.2307,3.3362,1.0000,2.5694,1.2245,0.4475,0.2305,0.4336,0.4576,0.5529,0.9043,0.0138,0.5115,0.5435,0.2145,0.0825,0.0264,0.0709,0.0402,9.8497
bs045,N,bs045_N_N_0.lm3,0.5133,1.5060,1.0791,1.6261,0.8510,1.0724,1.5935,0.8715,0.9332,2.6822,1.0000,2.2165,1.0717,0.4268,0.3039,0.4326,0.3434,0.5217,0.7171,0.0177,0.3304,0.4543,0.1252,0.0869,0.0343,0.0437,0.1550,6.4742
bs045,N,bs045_N_N_1.lm3,0.5421,1.5235,1.0248,1.6583,0.9631,1.0453,1.5701,0.9213,0.9708,2.7984,1.0000,2.4547,1.1616,0.4453,0.3486,0.4025,0.2949,0.4584,0.7196,0.0386,0.3107,0.4005,0.1181,0.0715,0.0271,0.0341,0.1037,6.9906
