identity,expression,filename,dist_enL_seL,dist_enL_prn,dist_seL_prn,dist_seL_ls,dist_prn_ls,dist_alL_alR,dist_chL_chR,dist_enL_exL,dist_enR_exR,dist_exL_exR,dist_enL_enR,dist_gn_prn,dist_gn_sto,dist_seL_seR,dist_ls_sto,area_enL_exL_exR,area_prn_alL_alR,area_chL_chR_ls,area_enL_enR_prn,area_ls_sto_sl,area_seL_prn_alL,area_seR_prn_alR,volume_enL_prn_alL_alR,volume_enL_exL_exR_prn,volume_chL_chR_ls_sto,volume_enL_enR_seL_prn,volume_exL_exR_alL_alR,facial_area
bs046,N,bs046_N_N_0.lm3,0.5229,1.5643,1.0965,1.8452,1.0556,1.2090,1.7803,1.0191,1.0818,3.0028,1.0000,2.5026,1.1165,0.4991,0.3610,0.4363,0.4925,0.5955,0.7270,0.0341,0.4695,0.5281,0.2077,0.0840,0.0330,0.0368,0.0792,8.3917
bs046,N,bs046_N_N_1.lm3,0.5606,1.6103,1.1488,1.9057,1.0406,1.2092,1.8681,1.0625,1.0154,3.0109,1.0000,2.3968,0.9995,0.3896,0.3821,0.4195,0.4726,0.6020,0.7598,0.0282,0.4976,0.5392,0.2075,0.0883,0.0389,0.0578,0.1282,8.4843
bs047,N,bs047_N_N_0.lm3,0.5242,1.6037,1.1446,1.7767,0.8540,1.0978,1.4511,0.9539,0.9766,2.8780,1.0000,2.5912,1.4788,0.4559,0.2750,0.2959,0.4006,0.4197,0.7714,0.0247,0.4199,0.3915,0.1338,0.1176,0.0185,0.0436,0.0809,6.9812
bs047,N,bs047_N_N_1.lm3,0.5300,1.6743,1.1899,1.8288,0.8901,1.0176,1.5250,1.0172,1.0266,2.9846,1.0000,2.3776,1.2699,0.4750,0.2486,0.3463,0.2563,0.4352,0.8070,0.0267,0.3382,0.3438,0.0941,0.1433,0.0155,0.0418,0.0282,7.4298
bs047,N,bs047_N_N_2.lm3,0.6766,1.6696,1.1093,1.7960,0.8486,1.0390,1.5097,1.0405,1.0083,2.9949,1.0000,2.4087,1.3287,0.3300,0.2419,0.3884,0.2534,0.3922,0.8029,0.0174,0.3378,0.3278,0.0828,0.1532,0.0181,0.0740,0.0114,7.2751
bs047,N,bs047_N_N_3.lm3,0.6812,1.6624,1.0556,1.7980,0.9527,1.0401,1.5670,1.0157,0.9831,2.9635,1.0000,2.6084,1.4442,0.3951,0.2574,0.2834,0.2646,0.4418,0.7958,0.0302,0.3220,0.3421,0.1036,0.0965,0.0122,0.0575,0.0333,7.4664
bs048,N,bs048_N_N_0.lm3,0.7437,1.7419,1.1159,1.8350,1.0509,1.0880,1.5923,0.9807,1.0513,2.9718,1.0000,2.7553,1.3933,0.3579,0.3282,0.2870,0.3223,0.5091,0.8293,0.0380,0.4171,0.4317,0.1452,0.0556,0.0311,0.0766,0.0823,8.0532
bs048,N,bs048_N_N_1.lm3,0.7010,1.7650,1.1581,1.7825,0.9692,1.1641,1.6631,1.0387,1.0554,3.0200,1.0000,2.5775,1.2696,0.4430,0.3785,0.4204,0.3960,0.5429,0.8594,0.0530,0.4045,0.4519,0.1500,0.0892,0.0374,0.0718,0.0819,8.1895
bs048,N,bs048_N_N_2.lm3,0.6320,1.7220,1.1508,1.8848,1.1229,1.1456,1.6459,1.0748,1.0623,3.0428,1.0000,2.7701,1.3733,0.4206,0.2829,0.4300,0.3605,0.5453,0.8268,0.0098,0.3782,0.4524,0.1489,0.1050,0.0387,0.0548,0.1311,8.4953
bs048,N,bs048_N_N_3.lm3,0.7622,1.7478,1.0599,1.7558,0.9995,1.0916,1.5109,1.0278,0.9432,2.9251,1.0000,2.5448,1.2512,0.3792,0.3510,0.3267,0.3723,0.4823,0.8445,0.0590,0.3744,0.4257,0.1485,0.0806,0.0183,0.0671,0.0998,7.6956
bs049,N,bs049_N_N_0.lm3,0.3839,1.1065,0.7953,1.2825,0.7605,0.9721,1.0868,0.7080,0.6802,2.3069,1.0000,1.9924,0.9281,0.3284,0.3054,0.2461,0.2361,0.2515,0.4947,0.0193,0.2609,0.2037,0.0656,0.0228,0.0132,0.0044,0.0998,4.6368
bs049,N,bs049_N_N_1.lm3,0.4571,1.1216,0.7343,1.3099,0.8377,0.9578,1.1882,0.8347,0.7513,2.4608,1.0000,2.0728,0.9469,0.2794,0.2924,0.3747,0.2422,0.2703,0.4977,0.0188,0.2098,0.2448,0.0712,0.0671,0.0154,0.0013,0.0733,5.1182
bs049,N,bs049_N_N_2.lm3,0.4879,1.0982,0.6811,1.2647,0.8017,0.8933,1.0672,0.7144,0.6938,2.3400,1.0000,2.0488,0.9644,0.2804,0.2859,0.2484,0.2051,0.2378,0.4814,0.0103,0.2130,0.1878,0.0562,0.0150,0.0115,0.0099,0.0441,4.6074
bs049,N,bs049_N_N_3.lm3,0.4773,1.1313,0.7334,1.3347,0.8053,0.9026,1.1000,0.7222,0.7107,2.3649,1.0000,2.0272,0.9452,0.2681,0.2947,0.1909,0.2188,0.2650,0.4880,0.0234,0.2212,0.2087,0.0658,0.0122,0.0104,0.0082,0.0155,4.7322
bs050,N,bs050_N_N_0.lm3,0.7674,1.7333,1.1017,1.5891,0.8757,1.0717,1.4417,0.8604,0.8643,2.6580,1.0000,2.1343,1.0693,0.3494,0.3130,0.2878,0.3754,0.4017,0.8254,0.0252,0.5007,0.3583,0.1382,0.1004,0.0271,0.0854,0.1727,6.0904
bs050,N,bs050_N_N_1.lm3,0.7083,1.7586,1.1880,1.7010,0.9271,1.0734,1.4985,0.8792,0.9410,2.7463,1.0000,2.2238,1.1415,0.3980,0.3028,0.3442,0.4781,0.4201,0.8458,0.0342,0.4916,0.5301,0.1707,0.0947,0.0243,0.0885,0.0409,6.4597
bs050,N,bs050_N_N_2.lm3,0.7688,1.7072,1.0535,1.5667,0.8997,1.0719,1.5149,0.9030,0.9336,2.7460,1.0000,2.3079,1.2193,0.3986,0.3285,0.3909,0.4409,0.4109,0.8264,0.0413,0.3956,0.4746,0.1568,0.1271,0.0224,0.0802,0.0937,6.6169
bs050,N,bs050_N_N_3.lm3,0.7677,1.7618,1.1078,1.6427,0.9191,1.0440,1.4654,0.9093,0.9274,2.7500,1.0000,2.2763,1.1596,0.4054,0.3037,0.3621,0.4293,0.4075,0.8356,0.0298,0.4208,0.4841,0.1553,0.1437,0.0233,0.0815,0.1044,6.5705
bs051,N,bs051_N_N_0.lm3,1.0243,2.2357,1.3366,2.0495,1.1525,1.2692,1.9328,1.2002,1.2054,3.3886,1.0000,2.8674,1.4737,0.3916,0.4255,0.2423,0.7234,0.7461,1.0914,0.0837,0.7169,0.7718,0.3523,0.1250,0.0382,0.1307,0.0575,10.4965
bs051,N,bs051_N_N_1.lm3,0.9595,2.1407,1.3156,2.0097,1.1155,1.1849,1.9111,1.1238,1.1160,3.2320,1.0000,2.7561,1.3622,0.3504,0.4179,0.1380,0.5462,0.7441,1.0489,0.0622,0.5897,0.6203,0.2399,0.0241,0.0482,0.1253,0.0130,9.4628
bs051,N,bs051_N_N_2.lm3,1.0018,2.1952,1.2944,2.0039,1.1309,1.1583,1.9006,1.1851,1.2136,3.3760,1.0000,2.8422,1.4213,0.3863,0.4100,0.2533,0.4491,0.7052,1.0709,0.0541,0.4794,0.5655,0.1987,0.1240,0.0462,0.1148,0.0389,10.2236
bs051,N,bs051_N_N_3.lm3,1.0394,2.2603,1.3488,2.0935,1.1704,1.2202,1.9210,1.1783,1.2552,3.4073,1.0000,2.9478,1.4744,0.3923,0.4179,0.2024,0.5198,0.6924,1.0995,0.0593,0.5616,0.6587,0.2527,0.0959,0.0512,0.1320,0.0319,10.5231
bs052,N,bs052_N_N_0.lm3,0.4905,1.5178,1.2548,1.8430,0.9569,0.8806,1.1877,0.8770,0.9430,2.7596,1.0000,2.2886,1.1206,0.3748,0.2725,0.2949,0.2382,0.2805,0.7179,0.0295,0.4171,0.3707,0.0877,0.0716,0.0104,0.0673,0.0383,6.2874
bs052,N,bs052_N_N_1.lm3,0.4534,1.4130,1.2434,1.7550,0.8319,0.7744,1.1161,0.7896,0.7868,2.5457,1.0000,2.1466,1.0947,0.3564,0.2821,0.2005,0.1845,0.2868,0.6765,0.0349,0.3697,0.3461,0.0644,0.0503,0.0107,0.0669,0.0418,5.4303
bs052,N,bs052_N_N_2.lm3,0.4379,1.4034,1.2684,1.8385,0.9233,0.8086,1.1988,0.8353,0.8271,2.6196,1.0000,2.3097,1.1718,0.3452,0.2583,0.2559,0.1984,0.3065,0.6740,0.0277,0.3712,0.3587,0.0669,0.0430,0.0115,0.0669,0.0222,5.8196
bs052,N,bs052_N_N_3.lm3,0.4558,1.4576,1.3831,1.9241,0.8679,0.8412,1.1162,0.8864,0.8499,2.6914,1.0000,2.2543,1.1535,0.3653,0.2817,0.2721,0.2016,0.2970,0.7023,0.0325,0.4392,0.3614,0.0694,0.0493,0.0112,0.0830,0.0753,5.9334
bs053,N,bs053_N_N_0.lm3,0.5428,1.9703,1.7634,2.2890,1.1082,1.0294,1.7007,1.0207,1.0304,2.9970,1.0000,2.5677,1.2054,0.3851,0.2986,0.2793,0.3225,0.6014,0.9193,0.0352,0.6016,0.6207,0.1362,0.0827,0.0342,0.1168,0.0775,8.8126
bs053,N,bs053_N_N_1.lm3,0.5967,1.8364,1.4805,2.0420,1.0975,0.9435,1.5479,0.9035,0.8808,2.7754,1.0000,2.5945,1.2436,0.3503,0.2967,0.1141,0.2846,0.5017,0.8649,0.0420,0.5222,0.4965,0.1267,0.0411,0.0212,0.1030,0.0139,7.4680
bs053,N,bs053_N_N_2.lm3,0.4249,1.8871,1.6583,2.1609,1.1255,0.9807,1.6003,0.9693,0.9538,2.9003,1.0000,2.6535,1.3087,0.4669,0.2657,0.2369,0.2866,0.4551,0.9115,0.0013,0.5736,0.4832,0.1237,0.0598,0.0359,0.0808,0.0569,8.1624
bs053,N,bs053_N_N_3.lm3,0.6630,1.8789,1.4417,2.1081,1.2159,0.9964,1.5671,0.9672,0.9378,2.8843,1.0000,2.6586,1.2514,0.4365,0.2398,0.1578,0.3205,0.4718,0.8931,0.0093,0.5527,0.5085,0.1436,0.0195,0.0323,0.1135,0.0487,8.2429
bs054,N,bs054_N_N_0.lm3,0.8403,2.3458,1.5874,2.0970,1.1367,1.2765,1.9457,1.2473,1.2706,3.4723,1.0000,2.9010,1.5120,0.4870,0.3795,0.4295,0.5834,0.6502,1.1460,0.0500,0.5596,0.7581,0.2346,0.2150,0.0410,0.1108,0.2871,10.8698
bs054,N,bs054_N_N_1.lm3,0.9982,2.2932,1.4255,2.0044,1.1072,1.3276,1.8608,1.2576,1.2140,3.4157,1.0000,2.7103,1.3917,0.4304,0.3791,0.4754,0.6528,0.5634,1.1273,0.0560,0.5607,0.8108,0.2653,0.1568,0.0253,0.1414,0.3579,10.4752
bs054,N,bs054_N_N_2.lm3,1.0347,2.2600,1.3012,1.9585,1.2319,1.2129,1.7993,1.2278,1.1640,3.3678,1.0000,2.8275,1.3926,0.4350,0.3623,0.3201,0.4593,0.5036,1.0996,0.0559,0.5281,0.4747,0.2012,0.1400,0.0260,0.1072,0.0651,10.1426
bs054,N,bs054_N_N_3.lm3,0.9400,2.1407,1.2891,1.8775,1.1050,1.2673,1.7247,1.1815,1.1294,3.2870,1.0000,2.6856,1.3483,0.4381,0.3704,0.2937,0.4995,0.5482,1.0642,0.0470,0.4323,0.6421,0.2081,0.0988,0.0304,0.1088,0.3260,9.4298
bs055,N,bs055_N_N_0.lm3,0.7778,1.5191,0.8673,1.3853,0.7506,0.9980,1.2695,0.7054,0.7213,2.3972,1.0000,1.9496,1.0059,0.3229,0.2544,0.1582,0.3433,0.2778,0.7031,0.0244,0.2652,0.3616,0.0908,0.0386,0.0138,0.0680,0.0964,4.7093
bs055,N,bs055_N_N_1.lm3,0.7732,1.5091,0.8702,1.3683,0.7299,0.9581,1.3170,0.7562,0.7277,2.4550,1.0000,1.9255,1.0177,0.2991,0.2305,0.1970,0.2571,0.2857,0.7136,0.0174,0.2703,0.2649,0.0702,0.0290,0.0161,0.0727,0.0163,4.9069
bs055,N,bs055_N_N_2.lm3,0.7209,1.4852,0.8668,1.3931,0.7522,1.0172,1.3071,0.7177,0.8377,2.4684,1.0000,1.9239,0.9939,0.3454,0.2228,0.2771,0.3222,0.2821,0.6983,0.0188,0.2511,0.3512,0.0891,0.0565,0.0125,0.0630,0.0836,5.0738
bs055,N,bs055_N_N_3.lm3,0.7462,1.5986,0.9823,1.4704,0.7148,1.0092,1.2859,0.8201,0.8266,2.5958,1.0000,1.9780,1.0491,0.3700,0.2675,0.2345,0.3336,0.2841,0.7369,0.0285,0.3348,0.3488,0.1027,0.0623,0.0127,0.0742,0.0197,5.3318
bs056,N,bs056_N_N_0.lm3,0.5870,1.4834,1.0444,1.3999,0.6401,1.0891,1.6339,1.1159,1.0847,3.0458,1.0000,1.8910,1.0286,0.3507,0.2583,0.5861,0.2802,0.5490,0.6772,0.0203,0.3495,0.2881,0.0742,0.1462,0.0308,0.0591,0.0378,6.5969
bs056,N,bs056_N_N_1.lm3,0.4960,1.4702,1.0950,1.4698,0.6668,1.1553,1.6376,1.1211,1.0464,3.0006,1.0000,2.1907,1.3241,0.3950,0.2069,0.6185,0.4325,0.4855,0.6701,0.0120,0.4015,0.4155,0.1258,0.1833,0.0241,0.0502,0.0419,6.7387
bs056,N,bs056_N_N_2.lm3,0.5108,1.4013,1.0714,1.4565,0.6830,1.1220,1.6065,1.0166,0.9201,2.8442,1.0000,2.1170,1.2081,0.3331,0.2425,0.4434,0.3667,0.4908,0.6547,0.0206,0.3408,0.4230,0.0976,0.0966,0.0249,0.0548,0.1081,6.3738
bs056,N,bs056_N_N_3.lm3,0.5380,1.4195,1.0688,1.4570,0.6785,1.0112,1.5786,1.0435,0.8232,2.7980,1.0000,2.2263,1.3161,0.2800,0.2437,0.4100,0.2557,0.4575,0.6506,0.0203,0.3536,0.3346,0.0743,0.1096,0.0266,0.0628,0.0321,6.4843
bs057,N,bs057_N_N_0.lm3,0.4792,1.6916,1.4440,2.0449,1.0534,0.9421,1.4622,1.0567,0.9150,2.9393,1.0000,2.4817,1.1917,0.3975,0.3525,0.2994,0.3257,0.3883,0.8142,0.0333,0.5566,0.5232,0.1313,0.0609,0.0140,0.0841,0.0081,8.1534
bs057,N,bs057_N_N_1.lm3,0.6013,1.7178,1.3457,1.9862,1.0423,0.8962,1.3830,1.0496,0.9620,2.9464,1.0000,2.5939,1.3590,0.2927,0.3207,0.3493,0.3328,0.3891,0.7861,0.0386,0.5335,0.5432,0.1416,0.1228,0.0048,0.0816,0.0437,8.0896
bs057,N,bs057_N_N_2.lm3,0.5632,1.7215,1.4162,2.0333,1.0151,0.9069,1.3688,1.0066,0.9168,2.9004,1.0000,2.5688,1.3575,0.2692,0.3422,0.2475,0.3008,0.3577,0.8242,0.0391,0.5628,0.4942,0.1305,0.0691,0.0031,0.0950,0.0372,8.2602
bs057,N,bs057_N_N_3.lm3,0.6266,1.7432,1.3113,1.9611,1.0546,0.9814,1.3266,0.9804,0.9591,2.9201,1.0000,2.5784,1.2901,0.2551,0.3478,0.1916,0.4371,0.3601,0.8191,0.0365,0.6531,0.5839,0.1979,0.0891,0.0079,0.0829,0.0588,8.1667
bs058,N,bs058_N_N_0.lm3,0.6844,1.9506,1.4772,2.0479,0.9724,1.1168,1.7444,1.0099,1.1660,3.1194,1.0000,2.6765,1.4627,0.3460,0.2815,0.3315,0.4365,0.6469,0.9405,0.0336,0.7055,0.5884,0.2067,0.1504,0.0344,0.1176,0.2039,9.0095
bs058,N,bs058_N_N_1.lm3,0.6968,2.0983,1.6107,2.3899,1.2247,1.2214,2.1079,1.3699,1.4298,3.6659,1.0000,3.3769,1.8021,0.4297,0.3675,0.7839,0.5312,0.9246,1.0270,0.0346,0.7488,0.8338,0.2901,0.4089,0.0749,0.1436,0.0496,11.8769
bs058,N,bs058_N_N_2.lm3,0.4431,1.9124,1.5689,2.1283,1.0553,1.1410,1.8477,1.2493,1.2080,3.3051,1.0000,2.8949,1.4754,0.4094,0.4160,0.7619,0.4594,0.7307,0.9453,0.0583,0.6967,0.6477,0.2248,0.3309,0.0531,0.0747,0.1153,10.3411
bs058,N,bs058_N_N_3.lm3,0.7608,2.0018,1.4477,2.1410,1.1053,1.1661,1.9993,1.2722,1.2322,3.4119,1.0000,2.8315,1.4225,0.3094,0.3302,0.5779,0.5092,0.8455,0.9781,0.0229,0.6949,0.7163,0.2613,0.2336,0.0668,0.1337,0.0120,10.7358
bs059,N,bs059_N_N_0.lm3,0.6550,1.9645,1.5220,1.8773,0.8193,1.3699,1.5976,1.0193,1.0448,3.0053,1.0000,2.1251,1.1378,0.3367,0.2845,0.2584,0.5801,0.4847,0.9279,0.0157,0.5975,0.8104,0.2130,0.0614,0.0273,0.1051,0.1694,7.9089
bs059,N,bs059_N_N_1.lm3,0.7923,2.0039,1.4096,1.8901,0.8386,1.2948,1.6627,1.0911,1.1442,3.1286,1.0000,2.2862,1.2985,0.2951,0.2703,0.5206,0.3975,0.4742,0.9602,0.0262,0.5205,0.5480,0.1346,0.2641,0.0196,0.1223,0.0342,8.6389
bs059,N,bs059_N_N_2.lm3,0.7035,1.8942,1.3187,1.7663,0.7916,1.2604,1.5936,1.1356,1.1076,3.1230,1.0000,2.1421,1.2131,0.4227,0.2222,0.5442,0.3548,0.4350,0.9162,0.0185,0.4426,0.4686,0.1100,0.2193,0.0173,0.0939,0.0773,8.3845
bs059,N,bs059_N_N_3.lm3,0.7680,1.8217,1.2034,1.5618,0.7291,1.1478,1.4440,0.8327,0.9844,2.7153,1.0000,1.8407,1.0118,0.3596,0.2351,0.2897,0.2943,0.3705,0.8530,0.0173,0.3659,0.3831,0.0715,0.1044,0.0170,0.0885,0.0872,6.5252
bs060,N,bs060_N_N_0.lm3,0.5734,1.5832,1.1117,1.6972,0.8777,0.9429,1.4516,1.0122,0.9652,2.9379,1.0000,2.1226,1.0443,0.3630,0.2263,0.2426,0.2856,0.3576,0.7324,0.0209,0.4247,0.3545,0.1133,0.0544,0.0183,0.0514,0.0683,6.9328
bs060,N,bs060_N_N_1.lm3,0.6577,1.4897,0.9008,1.5616,0.9140,0.9640,1.4211,0.9624,0.9912,2.8952,1.0000,2.0905,1.0098,0.3472,0.1839,0.3191,0.3775,0.3438,0.7031,0.0110,0.3673,0.3932,0.1489,0.0804,0.0154,0.0435,0.0412,6.8106
bs060,N,bs060_N_N_2.lm3,0.5744,1.5797,1.2223,1.7110,0.6891,0.8244,1.2877,1.0154,1.0089,2.9388,1.0000,1.7323,0.8110,0.2848,0.2791,0.4104,0.2080,0.2791,0.7471,0.0322,0.3886,0.3664,0.0855,0.1384,0.0114,0.0721,0.0383,6.4707
bs060,N,bs060_N_N_3.lm3,0.7390,1.5745,0.9293,1.5684,0.8748,0.8980,1.3913,0.9801,0.9797,2.8872,1.0000,2.1755,1.1017,0.3223,0.2122,0.3439,0.2991,0.3521,0.7406,0.0095,0.3210,0.3745,0.1216,0.0952,0.0178,0.0607,0.1105,6.7202
bs061,N,bs061_N_N_0.lm3,0.8133,1.9615,1.2082,1.6324,0.9598,1.1452,1.6421,1.0836,1.1203,3.1822,1.0000,2.1996,1.1541,0.4483,0.2676,0.1967,0.4321,0.4478,0.9113,0.0223,0.5128,0.4125,0.1837,0.0824,0.0248,0.0697,0.0185,8.0195
bs061,N,bs061_N_N_1.lm3,0.7394,1.8211,1.1605,1.6537,0.9706,1.0437,1.5220,1.0569,1.0218,3.0473,1.0000,2.1538,1.0799,0.4278,0.2739,0.2842,0.3242,0.3985,0.8723,0.0163,0.4386,0.3467,0.1252,0.1142,0.0241,0.0698,0.0409,7.4442
bs061,N,bs061_N_N_2.lm3,0.7008,1.8718,1.2996,1.6920,0.8784,1.0679,1.5089,1.1034,1.0133,3.0889,1.0000,2.1521,1.1544,0.3661,0.2875,0.2787,0.3337,0.4049,0.8869,0.0179,0.5184,0.3896,0.1243,0.0868,0.0235,0.0874,0.0523,7.3692
bs061,N,bs061_N_N_3.lm3,0.7993,1.9008,1.1697,1.6718,1.0065,1.1214,1.5833,1.1902,1.0740,3.2185,1.0000,2.1649,1.0860,0.4509,0.2589,0.3703,0.4073,0.4342,0.9029,0.0242,0.4750,0.4160,0.1692,0.1597,0.0196,0.0719,0.0713,7.9721
bs062,N,bs062_N_N_0.lm3,0.4252,1.4661,1.0964,1.8230,1.2150,1.0211,1.7584,1.0879,1.1101,3.1274,1.0000,2.6349,1.2392,0.5153,0.2492,0.3676,0.4986,0.5530,0.6780,0.0279,0.5377,0.5328,0.2029,0.0720,0.0230,0.0322,0.0395,8.2691
bs062,N,bs062_N_N_1.lm3,0.6498,1.5106,0.8970,1.5722,1.0983,1.0048,1.6498,1.1203,1.0750,3.1463,1.0000,2.5411,1.2018,0.4861,0.2978,0.3595,0.4524,0.4338,0.7243,0.0194,0.3875,0.4744,0.1898,0.0741,0.0269,0.0346,0.1266,7.9545
bs062,N,bs062_N_N_2.lm3,0.5247,1.5057,1.0327,1.8600,1.2681,1.0201,1.7778,1.2284,1.1827,3.3047,1.0000,2.8783,1.4154,0.4512,0.2361,0.5466,0.5391,0.4922,0.7119,0.0190,0.5483,0.5643,0.2319,0.1674,0.0226,0.0322,0.0350,9.7271
bs062,N,bs062_N_N_3.lm3,0.4550,1.3998,1.0159,1.7596,1.1608,1.0305,1.7824,1.1377,1.1330,3.1824,1.0000,2.6361,1.2493,0.4999,0.2675,0.4493,0.5189,0.5094,0.6636,0.0164,0.5204,0.5355,0.2068,0.0822,0.0301,0.0351,0.0382,8.7082
bs063,N,bs063_N_N_0.lm3,0.6654,1.7647,1.2490,1.9329,1.0158,1.1478,1.7178,1.4501,1.4721,3.7740,1.0000,2.8466,1.4200,0.2793,0.4200,0.8517,0.5327,0.6482,0.8561,0.0410,0.5946,0.6881,0.2495,0.3043,0.0555,0.0791,0.1611,10.7839
bs063,N,bs063_N_N_1.lm3,0.5214,1.5485,1.2655,1.8735,0.9395,1.0081,1.5484,1.0999,1.1451,3.1656,1.0000,2.6032,1.3080,0.2996,0.3630,0.4936,0.4220,0.4572,0.7422,0.0314,0.5404,0.6463,0.1749,0.1562,0.0337,0.0581,0.1166,8.0924
